nome,cor,tipo_parede,ambiente,acabamento,features,linha
Suvinil Prisma Colorido,Lilás,"Madeira, Alvenaria",Interno,Texturizado,"Econômica, Lavável, Baixo respingamento, Resistente a manchas",Standard
Suvinil Tropical Encanto,Rosa Quartzo,Gesso,Interno,Fosco,"Secagem rápida, Sem cheiro, Anti-mofo",Premium
Suvinil Efeito Brilho,Branco Puro,Alvenaria,Interno,Fosco,"Proteção UV, Alta cobertura, Antibacteriana",Premium
Suvinil Cores do Horizonte,Cinza Chumbo,"Alvenaria, Gesso",Externo,Emborrachado,"Resistente a chuva e sol, Lavável, Sem cheiro",Premium
Suvinil Raio Vibrante,Amarelo Bebê,"Alvenaria, Concreto",Interno,Brilhante,"Antiaderente, Baixo respingamento",Standard
Suvinil Oasis do Lar,Marfim,Gesso,Interno,Acetinado,"Lavável, Fácil limpeza, Ecológico",Standard
Suvinil Neon Eterno,Verde Bandeira,Alvenaria,Interno,Fosco,"Alta cobertura, Resistente à umidade, Sem cheiro",Premium
Suvinil Magia do Campo,Pêssego,Alvenaria,Externo,Texturizado,"Econômica, Fácil aplicação, Resistente a manchas",Standard
Suvinil Luar Sereno,Branco Puro,Alvenaria,Interno,Acetinado,"Resistente ao calor, Alta cobertura, Anti-mofo",Premium
Suvinil Elegância Urbana,Cinza Mescla,Madeira,Interno,Acetinado,"Baixo odor, Lavável, Secagem rápida",Econômica
Suvinil Matiz Tropical,Verde Água,Alvenaria,Externo,Texturizado,"Impermeável, Anti-mofo, Alto rendimento",Premium
Suvinil Refúgio Doce,Amarelo Ouro,Gesso,Interno/Externo,Fosco,"Lavável, Sem odor, Boa cobertura",Standard
Suvinil Essência do Mar,Azul Celeste,Metal,Interno,Semibrilho,"Impermeável, Resistente ao calor, Sem cheiro",Premium
Suvinil Tropical Paisagem,Verde Limão,Alvenaria,Externo,Texturizado,"Resistente a chuva e sol, Antiaderente",Standard
Suvinil Efeito Neve,Branco Gelo,Alvenaria,Interno,Acetinado,"Lavável, Alta cobertura, Sem odor",Standard
Suvinil Gold,Prata Metálico,Metal,Interno/Externo,Brilhante,"Ecológico, Impermeável, Proteção UV",Premium
Suvinil Glamour Cinza,Prata Metálico,Metal,Interno,Semibrilho,"Antiaderente, Secagem rápida, Proteção UV",Econômica
Suvinil Arte Urbana,Bege Areia,Concreto,Interno/Externo,Fosco,"Baixo respingamento, Secagem rápida, Resistente à umidade",Standard
Suvinil Coral Vibrante,Rosa Quartzo,Alvenaria,Externo,Brilhante,"Sem cheiro, Lavável, Boa cobertura",Premium
Suvinil Chuva de Ouro,Ouro Metálico,Alvenaria,Interno/Externo,Texturizado,"Econômica, Resistente a manchas, Antiaderente",Econômica
Suvinil Mundo Encantado,Verde Floresta,Alvenaria,Interno,Fosco,"Fácil limpeza, Alta cobertura, Lavável",Premium
Suvinil Horizonte de Lua,Azul Bebê,Alvenaria,Interno,Acetinado,"Sem cheiro, Resistente à umidade",Standard
Suvinil Tranquilidade Dourada,Amarelo Ouro,Alvenaria,Externo,Texturizado,"Impermeável, Fácil limpeza, Anti-mofo",Premium
Suvinil Paisagem Úrbana,Bege Areia,Concreto,Externo,Emborrachado,"Baixo respingamento, Sem cheiro",Standard
Suvinil Oceano Profundo,Azul Royal,Alvenaria,Interno,Fosco,"Resistente a manchas, Lavável, Antiaderente",Premium
Suvinil Púrpura Exótico,Magenta,Alvenaria,Interno,Acetinado,"Baixo respingamento, Proteção UV, Anti-mofo",Standard
Suvinil Noturno Azul,Azul Petróleo,"Alvenaria, Concreto",Externo,Brilhante,"Alta cobertura, Lavável, Sem cheiro",Premium
Suvinil Trem de Bronze,Bronze Antigo,Metal,Externo,Fosco,"Antiaderente, Ecológico, Alta durabilidade",Econômica
Suvinil Sonho Pastel,Rosa Quartzo,Gesso,Interno,Semibrilho,"Lavável, Sem cheiro, Proteção UV",Standard
Suvinil Tranquilidade Rosa,Rosa Quartzo,Alvenaria,Interno,Acetinado,"Fácil limpeza, Resistente à umidade, Baixo odor",Econômica
Suvinil Vintage Verde,Verde Menta,Alvenaria,Interno,Texturizado,"Resistente a manchas, Lavável, Alta cobertura",Standard
Suvinil Sol Poente,Amarelo Ouro,Alvenaria,Interno,Brilhante,"Alta durabilidade, Antiaderente, Boa cobertura",Premium
Suvinil Lua Azul,Azul Céu,Alvenaria,Interno,Acetinado,"Lavável, Sem odor, Proteção UV",Standard
Suvinil Terra Marfim,Marfim,Alvenaria,Interno,Texturizado,"Ecológico, Resistente a manchas",Standard
Suvinil Safira Intensa,Antracite Metálico,"Alvenaria, Concreto",Interno,Acetinado,"Fácil limpeza, Proteção UV, Anti-mofo",Premium
Suvinil Coral do Mar,Coral,Alvenaria,Externo,Fosco,"Impermeável, Lavável, Anti-mofo",Premium
Suvinil Sunset Elegante,Laranja Tropical,Alvenaria,Externo,Texturizado,"Lavável, Sem cheiro, Resistente ao calor",Standard
Suvinil Artístico Urbano,Cinza Urbano,Alvenaria,Interno,Acetinado,"Baixo respingamento, Fácil limpeza",Standard
Suvinil Magia da Primavera,Verde Água,Alvenaria,Interno,Acetinado,"Lavável, Ecológico, Baixo odor",Standard
Suvinil Espresso,Marrom Café,Madeira,Interno/Externo,Brilhante,"Alta cobertura, Sem odor, Anti-mofo",Standard
Suvinil Happy Yellow,Amarelo Vivo,Alvenaria,Externo/Interno,Fosco,"Econômica, Lavável, Resistente a chuva e sol",Econômica
Suvinil Charme Azul,Azul Petróleo,"Alvenaria, Metal",Interno,Acetinado,"Sem cheiro, Fácil limpeza, Proteção UV",Econômica
Suvinil Panorama Neutro,Bege Neutro,Alvenaria,Interno,Semibrilho,"Lavável, Antiaderente, Resistente a manchas",Econômica
Suvinil Duna de Prata,Prata Metálico,Alvenaria,Interno/Externo,Brilhante,"Impermeável, Resistente a manchas",Econômica
Suvinil Floresta Tropical,Verde Escuro,Alvenaria,Interno,Texturizado,"Anti-mofo, Boa cobertura, Lavável",Premium
Suvinil Neon Puro,Amarelo Ouro,"Alvenaria, Concreto",Externo,Brilhante,"Sem cheiro, Alta cobertura, Boa cobertura",Premium
Suvinil Blue Jeans,Azul Royal,Metal,Interno,Fosco,"Lavável, Antiaderente, Baixo odor",Standard
Suvinil Eclipse Neve,Branco Gelo,Alvenaria,Externo,Brilhante,"Ecológico, Anti-mofo, Lavável",Standard
Suvinil Indoor Branco,Branco Puro,Alvenaria,Interno,Texturizado,"Fácil aplicação, Ecológico, Lavável",Econômica
Suvinil UltraClean,Branco Puro,Alvenaria,Interno/Externo,Semibrilho,"Sem cheiro, Antiaderente, Fácil limpeza",Premium
Suvinil Trilhas Urbanas,Bege Neutro,Concreto,Interno,Acetinado,"Econômica, Resistente à umidade",Standard
Suvinil Aurora Autêntico,Antracite Metálico,Metal,Externo,Texturizado,"Resistente ao calor, Fácil limpeza, Antiaderente, Resistente à umidade",Econômica
Suvinil Lunar Névoa,Grafite Metálico,Alvenaria,Interno/Externo,Brilhante,"Ecológico, Boa cobertura, Baixo odor, Sem cheiro",Premium
Suvinil Elegante Fresco,Lavanda Suave,"Alvenaria, Concreto",Interno,Semibrilho,"Proteção UV, Fácil aplicação, Lavável, Impermeável",Econômica
Suvinil Chama de Vapor,Azul Cobalto,"Alvenaria, Metal",Interno,Fosco,"Anti-mofo, Ecológico, Antiaderente",Econômica
Suvinil Raio Metálico,Bege Areia,"Alvenaria, Madeira",Interno/Externo,Brilhante,"Resistente ao calor, Alta durabilidade, Econômica",Premium
Suvinil Linho de Horizonte,Lavanda Suave,"Concreto, Gesso",Externo,Semibrilho,"Fácil aplicação, Resistente à umidade, Antibacteriana",Premium
Suvinil Tribo Límpido,Cobre Metálico,"Concreto, Gesso",Externo,Acetinado,"Proteção UV, Fácil aplicação, Antiaderente",Econômica
Suvinil Diamante Linho,Branco Puro,"Alvenaria, Madeira",Interno,Semibrilho,"Resistente à chuva e sol, Baixo odor, Boa cobertura, Alta durabilidade",Econômica
Suvinil Metálico de Essência,Marrom Terra,"Alvenaria, Madeira",Interno,Semibrilho,"Lavável, Resistente ao calor",Premium
